q,a1,a2,a3,a4,a5,a6,a7
Name A Place Where You May Have To Stand For A Long Time,Bank,DMV,Concert,Bus Stop,Amusement Park,Work,Grocery Checkout
"Name Something You May Have Once Worn With A Work Uniform, But Wouldn’t Wear For A Night On The Town",Bowtie,Name Tag/ Badge,Cap/ Visor,Apron,Work Boots,Hard Hat,Hairnet
Name An Extra Something You Add To Your Mac And Cheese To Make It More Satisfying,Ketchup,Salt,Extra Cheese,Pepper,Hot Dogs,Tuna,Ham
Name A Food Served In An Elementary School Cafeteria,Pizza,Meatloaf,Jell O,Fries,Chicken Nuggets,Hot Dogs,Hamburgers
Name Something A Woman Might Want To Cover Up With Makeup,Blemish,Scar,Bruise,Wrinkles,Mole,Freckles,Hickey
Name Something That A Man Had Better Not Take Along On His Honeymoon,Another Woman,Cell Phone,His Parents,Work/ Laptop,His Best Friend,Golf Clubs,His Pet
"If You Commuted To Work By Jet Pack, Name Something Dangerous That Could Happen. Be Specific.",Fall To Earth,Run Out Of Gas,Hit A Plane,Blow Up,Collide With A Bird,Hit A Tree,Hit A Building
Name A Christmas Show That Is On Tv Every Year,Rudolph,Christmas Story,Charlie Brown,Frosty,Grinch,A Wonderful Life,Home Alone
Name A Profession Where You’d Have To Smile A Lot.,Model,Salesperson,Flight Attendant,Receptionist,News Reporter,Photographer,Host
"We Asked 100 Women: When You Should Be Focusing On Romance, Name Something Your Mind Is Often Distracted By Instead?",Job,Kids,Bills,Eating,Other Men,Tv,House
Name Something You Wouldn’t Miss About Daily Life If You Were Stranded On A Desert Island.,Work,TV,Traffic,Bills,Telephone,People,Housework
Name A Chore People Had To Do During Colonial Times That We Don’t Do Any More,Churn Butter,Carry Water,Handwash Clothes,Milk Cows,Farm Work,Chop Wood,Hunt
Which Animal’s Communication Sounds A Lot Like Crying?,Cat,Dolphin,Monkey,Bird,Dog,Whale,Hyena
Name A Way You Might Know Someone Is In The Secret Service,Dark Sunglasses,The Way They Dress,Haircut,With The President,Have An Earpiece,They’re Quiet,ID Card
Name A Place Where A Woman Would Hate For Her Husband To be When She Went Into Labor,At The Bar,At Work,Out Of Town,At A Strip Club,Stuck In A Traffic,In An Airplane,In Jail
Name A Place Where Wish People Wouldn’t Answer Their Cell Phones,Movie Theater,Place Of Worship,Restaurant,Car,Library,At Work,In The Bathroom
"What Do You Find Out About A Person Right Away On An Online Dating Site, But Much Later If You Meet In Real Life?",Age,Weight,Job,Marital Status,Kids,Religion,Income
"If Your Husband Could Get One Quality From James Bond, What Would You Want It To Be?",Looks,Charm,Wealth,Sophistication,British Accent,Fashion Sense,Intelligence
Name Something Two People On A Date Might Share,Kiss,Drink,Food,Bill,Conversation,Car,Interests
"Besides Alcohol, Drugs, Or Tobacco, Name Something That People Get Addicted To.",Love,Gambling,Coffee,Eating,TV,Chocolate,Internet
Name Something That College Students Get Stolen From Them On Campus.,Computer,Money,Book,Car,Bike,Phone,Ipod
Name An Accent That Many Americans Consider Sexy,French,Italian,Spanish,British,Southern,Australian,Irish
Name A Complaint An Astronaut Might Have About Living On The Space Station,Bad Food,Lonely,No Gravity,No Bathroom,No Fresh Air,Cramped,It’s Cold
Tell Me A Woman’s Name That Starts With The Letter “J”,Jennifer,Janet,Jane,Joanne,Judy,Jamie,Jackie
Where Do People Often Go For Their Honeymoons?,Hawaii,Bahamas,Niagra Falls,Mexico,Las Vegas,Paris,Jamaica
Name Something People Might Put On Cottage Cheese,Peaches,Pineapple,Oranges,Pepper,Blueberry,Salt,Jelly
Name Something That An Adventurous Person Might Try While At The Beach,Surfing,Skinny Dipping,Scuba Diving,Parasailing,Snorkeling,Wartersking,Jet Sking
Name Something A Beautiful Woman Might Flirt With Someone In Order To Get,Money,Free Drink,Job,Pass On Speeding Ticket,Phone Number,Car,Jewelry
What Might Some Women Love More Than Their Spouse?,Children,Money,Shopping,Shoes,Pet,Chocolate,Jewelry
Name A Gift You Might Buy If You’re A Secret Santa,Candles,Cookies/ Candy,Clothes,Toys,Get Certificate,Perfume,Jewelry
Name An Activity That’s More Fun To Do When It’s Raining Outside,Play Football,Dance,Swim,Sleep,Read,Watch TV/Movie,Jog
Name A TV Show You’d Never Want Your Name Mentioned On.,Jerry Springer,Cops,Cheaters,The Nightly News,America’s Most Wanted,Oprah Winfrey,Judge Judy
Name An Item A Company Might Put Their Logo On And Give Out For Free.,Pen,Hat,Shirt,Food Service,Magnet,Cup,Key Chain
Name A Word Or Phrase That Has The Word “Key” In It.,Key Chain,Keyhole,Keyboard,House Key,Door Key,Keystone,Keynote
Why Might You Have To Stop The Car During A Long Ride?,Use Bathroom,Get Gas,Eat,Car Trouble,Need Rest,Car Sick,Kids Fighting
Name Something You Might See At A High School Homecoming.,Queen,Balloons,Float,Football Game,Dresses,Limos,King
What Do Parents Do As Part Of Their Children’s bedtime Routine?,Read,Tuck Them In,Brush Teeth,Give Bath,Pray,Sing,Kiss Goodnight
Name An Animal That A Person Can Be Referred To As,Dog,Pig,Tiger,Bear,Fox,Cow,Kitten
Name Something You Remember About The Tv Show “M*A*S*H”,Hot Lips,Hawkeye,Radar,War,Doctors,Theme Music,Klinger
Name Something Most Parents Can’t Wait Until Their Child Starts Doing On His Own,Walking,Driving,Using Bathroom,Eating,Paying Bills,Dressing,Laundry
Name Something People Associate With The TV Show “60 Minutes”,Investigative Pieces,Andy Rooney,Ticking Clock,Tough Questions,Dan Rather,Mike Wallace,Leslie Stahl
Name A Type Of Animal That Can Be Found In The Cereal Box,Tiger,Rabbit,Parrot,Bear,Monkey,Kangaroo,Lion
"If You Were Forming A Relay Race Team, Which Animals Would You Choose For Teammates?",Cheetah,Horse,Rabbit,Jaguar,Dog,Tiger,Lion
Name Something You Do To Calm Yourself After Becoming Very Angry.,Breathe,Smoke,Walk,Count To 10,Eat Something,Meditate,Listen To Music
Name Something People Do To Help Them Fall Asleep At Night.,Sleeping Pill,Count Sheep,Drink Warm Milk,Read,Watch TV,Listen To Music,Listen To The Radio
Name Something A Little Kid Might Tell You About Santa Claus.,He’s Plump,Is Jolly,Has A Beard,Wears A Red Suit,He’s Real,Brings Presents,Lives At North Pole
Name Something Related To Finances That It’s Hard To Explain To A Kid.,Taxes,Credit,Interest,Budget,Stocks,Mortgage,Loans
Name An “Extra” You Might Pay More For At The Gym,Personal Trainer,Massage,Laundry Service,Food/ Drink,Pool Access,Tanning Bed,Locker Room Use
Name A Famous Beach,Venice,Daytona,Malibu,Huntington,Pebble,Miami,Long
Name Something People Do To Let You Know They’re Bored,Yawn,Sigh,Sleep,Roll Their Eyes,Twiddle Thumbs,Tap Fingers,Look At Watch
Name Something Of Yours That You’d Be Angry To Find A Partner Snooped Into,Diary,Purse/ Wallet,Cell Phone,Underwear Drawer,Online Accounts,Bank Account,Mail
Name Something That A Person From A Warm Climate Wouldn’t Know How To Do In The Snow.,Drive,Ski,Walk Through It,Shovel,Sled,Dress,Make A Snowman
Name A Job Aquaman Could Do If He Couldnâ€™T Be A Superhero Anymore,Lifeguard,Swim Coach,Swimmer,Fisherman,Pool Cleaner,Plumber,Marine Biologist
Name Something You Would Change If You Could In Your Life,Job,Salary,Weight,Age,Looks,Name,Marriage
Tell Me A City In Which You’d Never Be Bored,New York City,Las Vegas,Paris,Los Angeles,Chicago,New Orleans,Miami
Name A Male Performer Past Or Present Known For Wearing Outrageous Clothing,Elton John,Liberace,Prince,Elvis,Boy George,Dennis Rodman,Michael Jackson
Name Something No Christmas Party Should Be Without.,Egg Nog,Tree,Gifts,Santa Claus,Drinks,Food,Mistletoe
"When Traveling In A Foreign Country, Name Something You’d Hate To Forget The Word For.",Bathroom,Hello,Food,Thank You,Help,Please,Money
name A Slender Animal that Wouldn’t Make A Very Good Piggy Bank.,Snake,Giraffe,Cat,Deer,Pony,Lizard,Monkey
"If You Were An Earth Tour Guide, Which Landmarks Would You Show To An Alien?",Grand Canyon,Statue Of Liberty,White House,Eiffel Tower,Egyptian Pyramids,Great Wall Of China,Mount Rushmore
Name Something You See A Lot Of When You Look Out The Window On A Long Car Ride.,Trees,Vehicles,Fields,Cows,Road,Billboards,Mountains
"While Vacationing, What Might A Cheapskate Buy As Souvenirs For Her Friends?",Postcard,Keychain,T Shirt,Magnet,Shot Glass,Pen,Mug
Name A Typical Holiday Casserole.,Green Bean,Tuna,Chicken,Turkey,Sweet Potato,Broccoli,Mushroom
Name Something That Goes Well With A Juicy Steak,Baked Potato,Salad,Fries,Wine,Beer,Steak Sauce,Mushrooms
Name Something You Would Hate To Go On A Road Trip Without.,Map/ GPS,Money,Snacks,Change Of Clothes,Cell Phone,Family/ Friends,Music
"Besides Dishes And Utensils, What Else Do You Need To Host A Fancy Dinner Party?",Fancy Food,Wine,Napkins,Candles,Cocktail Glasses,Flowers,Music
Name Something That Fast Food Rarely Comes Without,Fries,Ketchup,Grease,Salt,Fat,Beverage,Napkins
Name An Excuse Someone Might Give To Get Ahead Of You In The Check Out Line,In A Hurry,Not Feeling Well,Late For Work/ Appt.,Emergency,Few Items,Kids With Them,Need To Use Bathroom
Name A Musical Instrument That’s Difficult To Play,Violin,Harp,Piano,Guitar,Flute,Trumpet,Oboe
Name Something A Child Might Sleep With,Teddy Bear,Blanket,Pillow,Parents,Doll,Night Light,Pacifier
What Places Are Most Likely To Get Tagged With Graffiti?,Subway Station,Overpass,TRains,Buildings,Billboards,Bathrooms,Parks
Name A Food That People Get Fed In A Romantic Situation.,Strawberries,Chocolate,Grapes,Steak,Oysters,Lobster,Pasta
Name Something A Woman Might Wish Her Husband Had More Of,Money,Hair,Time,Muscles,Love,Energy,Patience
Name A Fruit That You Rarely See Made Into Juice,Banana,Pear,Kiwi,Watermelon,Plum,Strawberry,Peach
"If You Ordered A Pizza With “The Works”, Name A Topping That You’d Expect.",Pepperoni,Onions,Mushrooms,Sausage,Olives,Anchovies,Peppers
Name A Hygiene Product That You Hope Your Office Mate Uses Every Day.,Soap,Deoderant,Toothpaste,Shampoo,Mouthwash,Hand Sanitizer,Perfume
Name Something You Would Hate To Find Under Your Bed,Monster,Snake,Rotting Food,Spider,Rodent,Dust,Person
Name Something That A Person Might Ask To Have Signed,Check,Photo,Contract,Shirt,Book,Ball,Petition
"When You Donâ€™t Want To Get Out Of Bed In The Morning, Name Something That Gets You Up Anyway",Alarm,Kids,Work,Pet,Hunger,Sunlight,Phone
Which Items Are Most Commonly Found In A Restaurant’s Lost-And-Found Box?,Keys,Glasses,Gloves,Umbrella,Jacket,Wallet,Phone
Name Something In Your House That You’d Hate To Find Wasn’t Working,TV,Refrigerator,Toilet,Stove,Computer,Washing Machine,Phone
Tell Me Something You Might Find In A Nurse’s Pocket.,Pen,Thermometer,Syringe,Watch,Stethoscope,Gloves,Pills
Name A Job Which Might Require Someone To Work On Christmas.,Nurse,Doctor,Work In Store,Police,Santa Claus,Restaurant,Pilot
Name Something You’D Expect To See A Lot Of In Hawaii,Beaches,Flower Necklace,Palm Trees,Water,Hula Dancers,Girls In Bikinis,Pineapples
Name An Activity Kids Do In The Car That They Can Also Do At Home.,Read,Sing,Coloring Books,Sleep,Watch TV,Eat,Play Games
Name Something You Can Use To Get Your Car Out Of The Snow.,Shovel,Tow Truck,Chains,Salt,Sand,Cat Litter,Plow
Name A Famous Dog,Lassie,Snoopy,Benji,Scooby Doo,Rin Tin Tin,Clifford,Pluto
Name Something You Might See At A Crime Scene,Blood,Police,Body,Yellow Tape,Chalk Outline,Dog,Police Car
Name Something That Even A Very Small Town Usually Has One Of,Gas Station,Post Office,Bank,Church,Grocery Store,Bar,Police Station
Tell Me A Place You Would Dread Being When Your Laxative Kicks In,Work,Church,School,Car,Movies,Airplane,Pool
Which Foods Are You Most Likely To Grab For A Late Night Snack?,Chips,Cookies,Ice Cream,Pizza,Sandwich,Cereal,Popcorn
Name Something Kids Love To Eat That Adults Like Too.,Ice Cream,Candy,Pizza,Cookies,Hot Dog,French Fries,Popsicle
Tell Me Who Was At The Door The Last Time You Pretended Not To Be Home.,Salesperson,Collections/Landlord,Parents/In Laws,Neighbor,Cops,Friend,Postal Worker
Name Something You’d Be Disappointed To Find Your Computer Came Without,Monitor,Mouse,Keyboard,Speakers,Internet Capability,Windows,Power Cord
"In Movies, Name An Occupation That’s Almost Always Played By Men",Doctor,Cop,Lawyer,Detective,Cowboy,Firefighter,President
Which Class Do Students Take In College Thinking It Would Be An Easy “A”?,Art,English,Gym,Music,Cooking,Drama,Psychology
Name A Kitchen Item That Might Be Used To Make Lava On A Volcano Model,Baking Soda,Ketchup,Jell O,Water,Soda,Tomato Sauce,Pudding
Name A Professional Football Team That’s Named For An Animal.,Bears,Dolphins,Lions,Eagles,Panthers,Colts,Rams
Name Something That Both Men And Women Use To Get Ready For A Date,Shower,Fragrance,Comb,Toothpaste/Brush,Deodorant,Mirror,Razor
Name Something Kids Do Over Their Summer Vacation,Swim,Play,Go To Camp,Sleep In,Travel,Watch TV,Read
Name Something A Drive-Thru Worker Might Forget To Give You That Would Be Annoying.,Straw,Change,Napkins,Ketchup,Food,Drink,Receipt
What Do Parents Most Like To Receive From Their Children?,Hugs,Love,Kisses,Good Grades,Artwork,Cards,Respect
Name A Specific Type Of Business That Usually Has An ATM Inside,Bank,Grocery Store,Gas Station,Convenience Store,Bar,Casino,Restaurant
Name A Place That Gets Crowded At The End Of A Work Day,Bar,Highway,Bank,Public Transit,Shopping Center,Grocery Store,Restaurant
Name Something Politicians Always Say They’ll Improve,Tax System,Budget Deficit,Health Care,Schools,War,Welfare,Roads
Name Something Specific A Person Might Do During An Argument That Makes Their Partner Really Angry,Raise Voice,Laugh,Curse,Walk Away,Ignore Them,Name Calling,Roll Eyes
Name A Game That Has A Specific Type Of Table,Pool,Poker,Ping Pong,Chess,Foosball,Monopoly,Roulette
Which Sports Are You Most Likely To Break An Arm Playing?,American Football,Hockey,Wrestling,Baseball,Basketball,Skiing,Rugby
What Hobby Or Activity Could Cause A Man To Have Missing Teeth?,Boxing,Hockey,Football,Drugs,Baseball,Wrestling,Rugby
Name Something You’d Expect To Find On A Pirate’s Ship,Pirates,Treasure,Parrot,Pirate Flag,Sword,Plank,Rum
Name An Occupation You Associate With Having A Positive Attitude,Teacher,Doctor,Customer Service,Food Server,Therapist,Nurse,Salesperson
Name A Type Of Business That Has Regular Customers,Restaurant,Grocery Store,Bar,Coffee Shop,Bank,Gas Station,Salon
Name Something You’d Never Forget To Do On Christmas Day,Exchange Gifts,Eat,Wake Up,Cook,Sing,Go To Church,Say Merry Christmas
Name A Public Place That You Can Almost Never Park Right In Front Of.,Hospital,Police Station,Courthouse,Shopping Center,Post Office,Bank,School
Name A Place Where You Don’t Want Front Row Seats,Movie Theater,Place Of Worship,Concert,Funeral,Seaworld,Circus,School
Where Might You Be If You’re Sitting In A Cramped Spot For A Long Time?,Car,Airplane,Bus,Train,Church,Jail,School
Name A Cartoon Character Who Never Seems To Get Any Older,Mickey Mouse,Charlie Brown,Bart Simpson,Bugs Bunny,Dennis The Menace,Lisa Simpson,Scooby Doo
Tell Me Something That Is Impossible To Do With Freshly Painted Nails.,Eat,Type,Write,Cook,Get Dressed,Wash Dishes,Scratch An Itch
Name Something You’d Hate To Have Happen While Driving A New Car Home,Crash,Flat Tire,Break Down,Rain,Run Out Of Gas,Speeding Ticket,Scratch It
Name Something Found At The Bottom Of The Ocean,Sand,Fish,Seashells,Rock,Sunken Ship/ Treasure,Coral,Seaweed
Name A 2-Word Phrase That Includes The Word “Secret”,Secret Garden,Top Secret,Secret Agent,Secret Admirer/ Lover,Secret Service,Secret Santa,Secret Society
Name A Reason Why A Woman Wouldn’t Change Her Last Name After Marrying.,Famous,Business Reasons,Family Connection,Believes In Keeping,Dislikes Husband’s,Too Much Paperwork,Shares It With Child
Name An Animal A Lion Likes To Eat,Deer,Zebra,Rabbit,Antelope,Gazelle,Mice,Sheep
Name Something You’d Find In A School Lost-And-Found Box.,Jacket,Hat,Gloves,Lunch Box,Glasses,Book,Shoes
Name Something You’d Be Surprised To Hear That A Celebrity Did For Herself,Cook,Clean,Style Her Hair,Drive,Laundry,Make Up,Shop
What Does A Child Do More Of Once They Become A Teenager?,Argue,Eat,Party,Sleep,Date,Talk On The Phone,Shop
"Name Something Men Do Today, But Probably Didn’t Do 50 Years Ago.",Cook,Clean,Watch TV,Change Diapers,Use Computer,Use Cell Phone,Shop
"Name Something You Do Each Day, But You Never See Soap Opera Characters Doing.",Laundry,Clean,Eat,Go To Work,Go To Sleep,Use The Bathroom,Shop
Name Something A Person Might Accidentally Leave Behind In A Taxicab.,Purse/Wallet,Cell Phone,Coat,Keys,Briefcase/Suitcase,Umbrella,Shopping Bags
Name A Hobby Or Activity In Which You’d Love To Get Lessons From A Pro.,Golf,Tennis,Piano,Football,Playing Guitar,Dancing,Singing
Name Something Your Child Knows About You That You Hope She’s Not Telling Strangers,Age,Weight,Address,Phone Number,Income,Drinking Habits,Sleep Naked
Name Something About Which Many People Have Phobias.,Spiders,Heights,Snakes,Water,Darkness,Flying,Small Spaces
Name Something You’d Be Shocked To See A Celebrity Wear On The Red Carpet.,Jeans,Bikini,Birthday Suit,Shorts,Underwear,Sweats,Sneakers
Tell Me Something You Close Your Mouth To Try To Keep From Doing,Talking,Yawning,Laughing,Coughing,Sneezing,Snacking,Snoring
Name Something Specific That Piles Up Before You Can Get To It.,Laundry,Bills,Dishes,Trash,Mail,Leaves,Snow
Name A Piece Of Information You’d Be Surprised To Find On Someone’s Business Card.,Age,Home Address,Weight,Home Phone,Marital Status,Religon,Social Security
Name An Article Of Clothing That You Wouldn’t Wear To Bed,Shoes,Jeans,Hat,Bra,Dress,Jacket,Socks
Name Something That Tastes Better Plain Than Fruit-Flavored,Water,Yogurt,Gum,Milk,Tea,Medicine,Soda
Name An Article Of Clothing Associated With A Foreign Country.,Kimono,Beret,Kilt,Serape,Poncho,Turban,Sombrero
"Where Do You Go,Specifically,To Find Peace And Quiet?",Library,Bedroom,Bathroom,Park,Church,Beach,Spa
Name A Kitchen Item That A Man Generally Does Not Own Until He Is Married,Blender,Toaster,Mixer,Dishwasher,Pan,Knife,Spatula
Name Something Embarrassing That Can Happen If You Laugh Too Hard.,Pass Gas,Wet Pants,Snort,Choke,Cry,Nose Runs,Spit
"Other Than Coins, Name Something People Collect",Stamps,Dolls,Cars,Rocks,Toys,Seashells,Spoons
What Might You Put In The Yard If You Had Nosey Neighbors?,Fence,Dog,Camera,Trees,Trespassing Sign,Bushes,Sprinkler
"If You Could Describe Yourself As A Shape, Name The Shape You Would Be?",Triangle,Circle,Square,Oval,Rectangle,Diamond,Star
Name Something More Than Difficult To Do When Driving A Car With Stick Shift,Eat/ Drink,Talk On Phone,Smoke,Change Gears,Stop,Park,Steer
Name Something California Has More Of Than Any Other State,People,Movie Stars,Earthquakes,Smog,Beach,Palm Trees,Sunshine
Name A Bad Job For Someone Who’s Accident Prone,Driver,Construction,Police Officer,Food Service,Glass Maker,Window Washer,Surgeon
Name Something That Makes You Feel Better When You’re Having A Bad day.,Food,Drink,Hug,Friend,Music,Watching TV,Taking Bath
Name Something A Beauty Queen and A Figure Skater Have In Common,Pretty,Graceful,Skinny,Costumes,Makeup,In Shape,Talent
What Might Someone Do While Sleeping That Tells You They’re Having A Nightmare?,Scream,Cry,Kick,Sweat,Thrash,Jump,Talk
What Might A Date Do In The First 5 Minutes That Tells You They Have Bad Manners?,Burp,Leave,Spit,Try To Kiss You,Swear,Not Open Door,Talk On Phone
"If Adults Had Fight Like Toddlers Do, What Might Your Spouse Do The Next Time You Disagreed?",Cry,Bite,Pull Hair,Pout,Throw Something,Scream,Tantrum
What Might You FInd In A Briefcase That Would Make You Think It Belonged To A Spy?,Weapon,Camera,Money,Magnifying Glass,Binoculars,Spy Glasses,Tape Recorder
Name Something Specific A Teen Might Do That Shows They’re Rebelling,Try A Cigarette,Stay Out Late,Dye Hair,Run Away,Sneak Out,Talk Back,Tattoo
Name A Job That You’d Need A License To Do,Doctor,Truck Driver,Nurse,Taxi Driver,Bus Driver,Electrician,Teacher
Name Something A Leprechaun Would Have Made For Himself Out Of Gold,Necklace,Shoes,Hat,Ring,Clover,Pot,Teeth
Name Something That A Child Often Loses,Teeth,Toys,Money,Homework,Gloves,Jacket,Temper
Name The Worst Thing To Lose While On Vacation,Money,Passport,Luggage,Cellphone,ID/ License,Keys,The Kids
Name A Place Where You’d Find Colorful Neon Lights,Las Vegas,Theater,Times Square,Bar,Store,Motel,Theme Park
Name A Good Job For Someone Who Asks A Lot Of Questions.,Lawyer,Reporter,Telemarketer,Doctor,Detective,Teacher,Therapist
Name A Reason a Person Might Get Rid Of A Pet.,Moving,They Attack People,Not Housebroken,Too Messy,Chew Things,Sickness,They’re Allergic
Name Something Guests Do At A Wedding,Dance,Drink,Eat,Cry,Chat,THrow Rice,Toast The Couple
Name A Place You May Keep Your Keys While Swimming,Locker,Beach Bag,Purse,Pocket,Cars,Shoes,Towel
Name Something You Find In A Little Boy’s Pocket.,Rocks,Marbles,Frog,Dirt,Worms,Candy,Toy Car
Name Something Dogs Get More Excited About Than People.,Bones,Food,People,Treats,Other Dogs,Going For A Walk,Toys
Name Something That Might Be Lying On A Teenager’s Floor,Clothes,Shoes,Books,Food,Magazines,CD’s,Trash
What Might You Find Out About A Job That Would Keep You From Accepting It?,Low Pay,Hours Are Bad,Mean Boss,Location,No Benefits,Dangerous,Travel A Lot
Which Orchestra Instrument Would Be Most Effective If You Wanted To Wake Someone Up?,Trumpet,Tuba,French Horn,Drums,Cymbals,Xylophone,Tromebone
Name Something Associated With A Teenage Girls Sleepover,Pillow Fight,Boys,Makeovers,Chitchat,Junk Food,Watching Movies,Truth or Dare
Name Something People Spend THeir Tax Returns On.,Car,Clothes,Bills,Vacation,Food,Furniture,TV
Name A Magazine You See At Supermarket Checkout Stands,National Enquirer,People,Star,Time,Cosmopolitan,Seventeen,TV Guide
Name A Cartoon Character Who Has Trouble Pronouncing Words,Daffy Duck,Porky Pig,Elmer Fudd,Donald Duck,Bugs Bunny,Sylvester,Tweety Bird
Which Terms For Weather Phenomena Could A Roller Coaster Be Named After?,Tornado,Hurricane,Twister,Thunder,Cyclone,Tsunami,Typhoon
"What Do You Find Out About A Hotel Ahead Of Time, When Deciding Whether To Stay There?",Price,Pool,Location,Star Rating,Includes Breakfast,Clean,Vacancy
Name A Specific Expense That You’d Save On If You Didn’t Have Any Kids,Food,Clothes,Diapers,Education,Toys,Childcare,Vacation
Name Your Favorite Filling In A Valentine’s Day Chocolate.,Caramel,Cherry,Strawberry,Chocolate Creme,Nut,Peanut Butter,Vanilla
Name Something On A Car That Lets You Know The Owner Takes A Lot Of Pride In Their Ride.,Rims/Wheels,Shine,Paint Job,Bumper Sticker,Spoiler,Seat Covers,Vanity Plate
Name A Kind Of Doctor.,Pediatrician,Optometrist,Dentist,Podiatrist,Surgeon,Ob/Gyn,Veterinarian
Which Man’s Name Are You Likely To Hear In Mafia Movie?,Tony,Don,Joey,Frank,Scarface,Al,Vinny
"Name A Function You Have On Your Telephone, That Your Child Doesn’t Have On Their Tin Can Phone.",Redial,Speaker Phone,Call Waiting,Caller ID,Speed Dial,Mute,Voice Mail
Name Something That Wedding Ceremony Should Be Without,Bride,Minister,Rings,Music,Flowers,Groom,Vows
Name Something You See A Candidate Doing In TV Campaign Commercials,Talking,Making Promises,Shaking Hands,Smiling,Kissing Babies,Insulting Opponent,Waving
Tell Me A Characteristic Of A Man Who’s Described As “Distinguished.”,Has Gray Hair,Has Facial Hair,Wealthy,Handsome,Smart,Tall,Wears A Suit
Name Something That People Like To Show Off,Car,Wealth,House,Kids,Body,New Clothes,Weeding Ring/ Jewelry
"Finish This Sentence: Since I Got Married, I Have More_____.",Money,Romance,Kids,Stress,Bills,Fun,Weight
What Can You Find Out About Person By Reading Their Bumper Stickers?,Religion,Politics,Sense Of Humor,Age,If They Have Kids,Male/ Female,Where They Live
Name An Ice Cream Topping That Every Ice Cream Shop Should Have,Chocolate/ Fudge,Sprinkles,Strawberry,Nuts,Cherry,Caramel,Whipped Cream
Name Someone Specific You’d Be Nervous About Lying To,Mother,Priest,God,Father,Husband,Friend,Wife
Name A Tv Show Past Or Present That Has A Womanâ€™S Name In The Title,Ally Mcbeal,Oprah Winfrey,Roseanne,Rosie O’donnell,Murphy Brown,I Love Lucy,Will & Grace
What Was Your Worst Nightmare About?,Death,Monster,Falling,Ghosts,Spiders,Clowns,Witches
Tell Me A Sign That It’s Time To Enroll Your Dog In Obedience School,Not Housetrained,Bites People,Chews,Barks A Lot,Doesn’t Obey You,Runs Away,Won’t Come When Called
Name Something You’d Probably See At A Construction Site,Men,Hard Hats,Tractors,Big Trucks,Bulldozer,Hammers,Wood
Name A Public Place Where You’re Likely To Catch A Cold Or Flu Bug,School,Hospital,Airplane,Doctor’s Office,Public Transit,Shopping Center,Work
Name A Subject That Often Comes Up In Family Feud Question,Food,Family,Dating/ Marriage,Movies,Animals,Sports,Work
What Kinds Of Tasks Do We Now Handle Online That We Didn’t Use To 10 Years Ago?,Banking,Paying Bills,Shopping,Emailing,Doing Taxes,Education,Working
"Aside From Other Movie Stars, Name A Common Profession For Movie Star Spouses.",Model,Director,Singer,Hollywood Manager,Athlete,Producer,Writer
Name A Hair Color That Isn’t Natural.,Green,Bright Red,Blue,Purple,Orange,Pink,Yellow
"Name A Food That A Parent Might Hide Their Child’s Pill In, To Get Them To Swallow It.",Ice Cream,Applesauce,Pudding,Peanut Butter,Jell O,Mashed Potatoes,Yogurt
Name A Cartoon Character Who Would Never Be Chosen To Narrate A Documentary.,Porky Pig,Daffy Duck,Bugs Bunny,Donald Duck,Elmer Fudd,Tweety,Yosemite Sam
Which Spooky Halloween Character Would You Hate To Run Into In A Dark Alley?,Jason,Dracula,Ghost,Witch,Frankenstein,Freddy Krueger,Zombie
"After A Cop Pulls You Over, What Might You Try To Do To Avoid Getting A Ticket",Cry,Flirt,Lie,Smile,Be Nice,Beg,Apologize
What Might A Kid Take Along If He’s Planning To Run Away From Home?,Clothes,Food,Money,Bedding,Toys,Backpack,Bike
Name An Event A Child Closes Their Eyes For,Sleep,Scary Movie,Shots,Making A Wish,Prayer,Roller Coaster,Hide And Seek
"Besides Throwing Them Away, Name Something You Can Do With Old Newspapers.",Recycle,Burn Them,Clean Windows,Wrap Gifts,Pack Dishes,Crafts,Line Bird Cage
Name A Famous Dog?,Lassie,Snoopy,Benji,Scoobie Doo,Rin Tin Tin,Clifford,Pluto
"During An Argument, What Might A Teen Do That Makes Their Parents Really Angry?",Yell,Swear,Slam Doors,Talk Back,Walk Away,Say I Hate You,Roll Eyes
Name A Food Someone Might Use More Than One Hand To Eat.,Pizza,Chicken,Hambugers,Ribs,Corn On The Cob,Watermelon,Sandwhich
Name Something You Try To Avoid Doing When Posing For A Photo.,Closing Eyes,Smiling,Laughing,Sneezing,Frowning,Moving,Slouching
"Besides Music, Name Something You Might Hear On A Morning Radio Show.",News,Talking,Weather,Jokes,Commercials,Traffic,Sports
Name Something You See In A Room That Tells You A Teenage Girl Lives There.,Posters,Color Pink,Makeup,Clothes,Diary,Magazines,Stuffed Animals
Name Something You Think America Or Americans Waste Money On.,War/Weapons,Lottery/ Gambling,Eating/Drinking,Cars/ Gasoline,Clothes/Shoes,Games/ Toys,Television
Tell Me Something You Put In An Emergency Road Kit.,Flares,Flashlight,First Aid Kit,Blanket,Car Jack,Water,Jumper Cables
What Do Some People Refuse To Go Swimming Without?,Bathing Suit,Sunscreen,Goggles,A Swim Cap,Float/ Inner Tube,Life Vest/ Floaties,A Friend
What Might A Date Do On Your Answering Machine That Would Keep You From Calling Them Back?,Say I Love You,Ramble,Shot,Cry,Beg For A Date,Say Wrong Name,Sing
Name Something That Prevents You From Seeing For Miles.,Fog,Precipitation,Trees,Darkness,Mountains,Buildings,Vision
